Date,Close
4/2/2018 16:00:00,182.75
4/3/2018 16:00:00,182.61
4/4/2018 16:00:00,185.52
4/5/2018 16:00:00,186.25
4/6/2018 16:00:00,183.96
4/9/2018 16:00:00,184.41
4/10/2018 16:00:00,183.55
4/11/2018 16:00:00,184.65
4/12/2018 16:00:00,188.82
4/13/2018 16:00:00,188.91
4/16/2018 16:00:00,194.58
4/17/2018 16:00:00,196
4/18/2018 16:00:00,196.51
4/19/2018 16:00:00,195.07
4/20/2018 16:00:00,193.56
4/23/2018 16:00:00,193.35
4/24/2018 16:00:00,192.51
4/25/2018 16:00:00,193.97
4/26/2018 16:00:00,195.26
4/27/2018 16:00:00,196.58
4/30/2018 16:00:00,197.16
5/1/2018 16:00:00,196.55
5/2/2018 16:00:00,194
5/3/2018 16:00:00,193.01
5/4/2018 16:00:00,195.19
5/7/2018 16:00:00,193.06
5/8/2018 16:00:00,194.48
5/9/2018 16:00:00,196.04
5/10/2018 16:00:00,195.45
5/11/2018 16:00:00,195.76
5/14/2018 16:00:00,195.88
5/15/2018 16:00:00,195.48
5/16/2018 16:00:00,198.71
5/17/2018 16:00:00,199.6
5/18/2018 16:00:00,199.6
5/21/2018 16:00:00,199.62
5/22/2018 16:00:00,198.97
5/23/2018 16:00:00,198.14
5/24/2018 16:00:00,198.89
5/25/2018 16:00:00,198.36
5/29/2018 16:00:00,196.74
5/30/2018 16:00:00,199.64
5/31/2018 16:00:00,198.24
6/1/2018 16:00:00,197.13
6/4/2018 16:00:00,198.62
6/5/2018 16:00:00,197.84
6/6/2018 16:00:00,197.66
6/7/2018 16:00:00,202.57
6/8/2018 16:00:00,203.76
6/11/2018 16:00:00,204.5
6/12/2018 16:00:00,204.88
6/13/2018 16:00:00,204.11
6/14/2018 16:00:00,205.12
6/15/2018 16:00:00,207.32
6/18/2018 16:00:00,206.21
6/19/2018 16:00:00,207.53
6/20/2018 16:00:00,207.98
6/21/2018 16:00:00,209.96
6/22/2018 16:00:00,211.1
6/25/2018 16:00:00,211.75
6/26/2018 16:00:00,210.09
6/27/2018 16:00:00,210.03
6/28/2018 16:00:00,208.71
6/29/2018 16:00:00,208.98
7/2/2018 16:00:00,207.99
7/3/2018 13:00:00,207.12
7/5/2018 16:00:00,209.14
7/6/2018 16:00:00,209.62
7/9/2018 16:00:00,210.94
7/10/2018 16:00:00,211.7
7/11/2018 16:00:00,210.95
7/12/2018 16:00:00,214.02
7/13/2018 16:00:00,216.54
7/16/2018 16:00:00,214.85
7/17/2018 16:00:00,215
7/18/2018 16:00:00,214.97
7/19/2018 16:00:00,217.54
7/20/2018 16:00:00,218.69
7/23/2018 16:00:00,218.84
7/24/2018 16:00:00,218.58
7/25/2018 16:00:00,220.7
7/26/2018 16:00:00,221.72
7/27/2018 16:00:00,219.65
7/30/2018 16:00:00,219.11
7/31/2018 16:00:00,218.71
8/1/2018 16:00:00,217.13
8/2/2018 16:00:00,221.12
8/3/2018 16:00:00,222.03
8/6/2018 16:00:00,222.72
8/7/2018 16:00:00,223.86
8/8/2018 16:00:00,224.58
8/9/2018 16:00:00,218.24
8/10/2018 16:00:00,220.31
8/13/2018 16:00:00,219.56
8/14/2018 16:00:00,222
8/15/2018 16:00:00,221.67
8/16/2018 16:00:00,223.19
8/17/2018 16:00:00,225.68
8/20/2018 16:00:00,227.35
8/21/2018 16:00:00,228.54
8/22/2018 16:00:00,229.21
8/23/2018 16:00:00,229.51
8/24/2018 16:00:00,231.28
8/27/2018 16:00:00,230.03
8/28/2018 16:00:00,230.26
8/29/2018 16:00:00,230.19
8/30/2018 16:00:00,230.83
8/31/2018 16:00:00,233.13
9/4/2018 16:00:00,234.68
9/5/2018 16:00:00,235.61
9/6/2018 16:00:00,236.68
9/7/2018 16:00:00,241.46
9/10/2018 16:00:00,243.18
9/11/2018 16:00:00,244.21
9/12/2018 16:00:00,242.44
9/13/2018 16:00:00,241.27
9/14/2018 16:00:00,235.38
9/17/2018 16:00:00,232
9/18/2018 16:00:00,234.35
9/19/2018 16:00:00,233.85
9/20/2018 16:00:00,233.92
9/21/2018 16:00:00,234.76
9/24/2018 16:00:00,233.34
9/25/2018 16:00:00,232.93
9/26/2018 16:00:00,233.81
9/27/2018 16:00:00,234
9/28/2018 16:00:00,234.88
10/1/2018 16:00:00,234.65
10/2/2018 16:00:00,236.35
10/3/2018 16:00:00,233.2
10/4/2018 16:00:00,231.68
10/5/2018 16:00:00,218.82
10/8/2018 16:00:00,223.93
10/9/2018 16:00:00,224.17
10/10/2018 16:00:00,221.05
10/11/2018 16:00:00,221.82
10/12/2018 16:00:00,226.95
10/15/2018 16:00:00,224.51
10/16/2018 16:00:00,227.68
10/17/2018 16:00:00,228.49
10/18/2018 16:00:00,228.58
10/19/2018 16:00:00,229.67
10/22/2018 16:00:00,229.06
10/23/2018 16:00:00,228.75
10/24/2018 16:00:00,223.76
10/25/2018 16:00:00,226.4
10/26/2018 16:00:00,218.19
10/29/2018 16:00:00,222.42
10/30/2018 16:00:00,227.92
10/31/2018 16:00:00,228.63
11/1/2018 16:00:00,229.6
11/2/2018 16:00:00,230.16
11/5/2018 16:00:00,234.45
11/6/2018 16:00:00,236.71
11/7/2018 16:00:00,240.37
11/8/2018 16:00:00,238.7
11/9/2018 16:00:00,237.74
11/12/2018 16:00:00,234.48
11/13/2018 16:00:00,234.14
11/14/2018 16:00:00,233.31
11/15/2018 16:00:00,229.94
11/16/2018 16:00:00,231.02
11/19/2018 16:00:00,228.74
11/20/2018 16:00:00,219.31
11/21/2018 16:00:00,218.57
11/23/2018 13:00:00,220.06
11/26/2018 16:00:00,219.45
11/27/2018 16:00:00,223.01
11/28/2018 16:00:00,230.34
11/29/2018 16:00:00,231
11/30/2018 16:00:00,231.28
12/3/2018 16:00:00,232.08
12/4/2018 16:00:00,226.35
12/6/2018 16:00:00,233.2
12/7/2018 16:00:00,224.86
12/10/2018 16:00:00,222.66
12/11/2018 16:00:00,226.5
12/12/2018 16:00:00,227.8
12/13/2018 16:00:00,226.51
12/14/2018 16:00:00,207.06
12/17/2018 16:00:00,202.23
12/18/2018 16:00:00,202.99
12/19/2018 16:00:00,201.41
12/20/2018 16:00:00,197.13
12/21/2018 16:00:00,194.52
12/24/2018 13:00:00,189.99
12/26/2018 16:00:00,198.63
12/27/2018 16:00:00,201.08
12/28/2018 16:00:00,202.04
12/31/2018 16:00:00,203.71
1/2/2019 16:00:00,204.76
1/3/2019 16:00:00,200.42
1/4/2019 16:00:00,206.24
1/7/2019 16:00:00,207
1/8/2019 16:00:00,208.55
1/9/2019 16:00:00,209.9
1/10/2019 16:00:00,210.64
1/11/2019 16:00:00,210.51
1/14/2019 16:00:00,209
1/15/2019 16:00:00,211.03
1/16/2019 16:00:00,210.18
1/17/2019 16:00:00,211.46
1/18/2019 16:00:00,213.59
1/22/2019 16:00:00,212.4
1/23/2019 16:00:00,212.09
1/24/2019 16:00:00,210.31
1/25/2019 16:00:00,209.07
1/28/2019 16:00:00,210.77
1/29/2019 16:00:00,210.31
1/30/2019 16:00:00,211.35
1/31/2019 16:00:00,214.63
2/1/2019 16:00:00,210.27
2/4/2019 16:00:00,211.18
2/5/2019 16:00:00,211.61
2/6/2019 16:00:00,211.6
2/7/2019 16:00:00,209.05
2/8/2019 16:00:00,207.75
2/11/2019 16:00:00,208.72
2/12/2019 16:00:00,211.9
2/13/2019 16:00:00,212.8
2/14/2019 16:00:00,213.84
2/15/2019 16:00:00,216.47
2/19/2019 16:00:00,218.12
2/20/2019 16:00:00,217.11
2/21/2019 16:00:00,215.23
2/22/2019 16:00:00,216.29
2/25/2019 16:00:00,217.05
2/26/2019 16:00:00,217.61
2/27/2019 16:00:00,218.05
2/28/2019 16:00:00,218.74
3/1/2019 16:00:00,219.44
3/4/2019 16:00:00,218.41
3/5/2019 16:00:00,219.82
